structure,unit_cells,framework_mass,average_volume,selectivity_(n_co2/n_n2)/(p_co2/p_n2),loading_mol_kg_co2_avg,loading_mol_kg_co2_err,loading_mol_kg_n2_avg,loading_mol_kg_n2_err,loading_mg_g_co2_avg,loading_mg_g_co2_err,loading_mg_g_n2_avg,loading_mg_g_n2_err,loading_g_L_co2_avg,loading_g_L_co2_err,loading_g_L_n2_avg,loading_g_L_n2_err,loading_num_molecules_co2_avg,loading_num_molecules_co2_err,loading_num_molecules_n2_avg,loading_num_molecules_n2_err
WOCGIG_clean_pacmof,18,22101.552,23769.95705,162.76565593414608,2.75658,0.0316,0.09597,0.00489,121.28606,1.39047,2.68854,0.137,374.52807,4.29373,8.30213,0.42306,60.92462,0.69846,2.12115,0.10809
WOBHOM_clean_pacmof,18,28726.632,44901.02395,33.044130455821154,1.80765,0.0262,0.30999,0.00956,79.5343,1.15279,8.68399,0.26769,168.9904,2.4494,18.4513,0.56877,51.92761,0.75265,8.90507,0.2745
WIZKOH_clean_pacmof,8,12250.944,22395.35317,49.16101351351351,3.85191,0.12432,0.444,0.00533,169.47923,5.47002,12.43801,0.14936,307.89825,9.93755,22.59652,0.27135,47.18948,1.52306,5.43943,0.06532
WOCWAN_clean_pacmof,36,41005.152,49767.10735,22.966844012645534,0.87605,0.02905,0.21615,0.00251,38.54507,1.27832,6.05508,0.07036,105.47364,3.49797,16.56894,0.19253,35.92249,1.19135,8.86321,0.10299
WIZDEP_clean_pacmof,20,19492.68,25087.18943,21.04964909531024,0.71102,0.0173,0.19141,0.00059,31.28421,0.76126,5.36205,0.01648,80.72794,1.96442,13.8366,0.04252,13.85977,0.33726,3.73109,0.01147
WOBHOL_clean_pacmof,16,15594.144,21298.96529,16.05372860044492,0.58581,0.00826,0.20678,0.00226,25.77504,0.36322,5.79255,0.06333,62.67313,0.88319,14.08484,0.154,9.13524,0.12873,3.22451,0.03526
WODREO_clean_pacmof,12,39863.664,59122.33534,171.7977323659278,4.55456,0.07127,0.15023,0.00486,200.39538,3.13586,4.20846,0.13615,448.73756,7.022,9.42384,0.30488,181.56164,2.84114,5.98871,0.19375
WODQUD_clean_pacmof,32,44601.6,34990.78328,3309.847468770545,2.96134,0.10298,0.00507,0.00109,130.29526,4.53097,0.1421,0.03062,551.57486,19.18082,0.60155,0.12963,132.08035,4.59305,0.22624,0.04876
WOBBOG_clean_pacmof,36,27368.928,23069.97818,283.7779985100571,2.01666,0.04137,0.04027,0.0019,88.73079,1.82037,1.12802,0.05316,349.59404,7.17214,4.44435,0.20946,55.19393,1.13234,1.10207,0.05194
WOBHEB_clean_pacmof,20,19492.68,26551.19505,33.012970969734404,1.22616,0.04323,0.21047,0.003,53.94957,1.90216,5.89606,0.08413,131.539,4.63781,14.37569,0.20512,23.90114,0.84271,4.10267,0.05854
WOBFOK_clean_pacmof,12,27690.912,26608.89907,41.26230339928969,0.33488,0.00891,0.04599,0.00076,14.73434,0.3922,1.28822,0.02126,50.92372,1.35551,4.45225,0.07346,9.27315,0.24684,1.27339,0.02101
WODPUC_clean_pacmof,27,36730.854,40459.10332,506.39168204182033,3.87479,0.02673,0.04336,0.00167,170.48609,1.17619,1.21467,0.04677,514.02332,3.54625,3.66229,0.141,142.32433,0.9819,1.59266,0.06132
WOBQEL_clean_pacmof,8,25232.896,40272.0863,92.38146209165582,4.88899,0.18299,0.29989,0.01043,215.10975,8.05135,8.40083,0.29218,447.61245,16.75369,17.48091,0.60797,123.36341,4.61737,7.56697,0.26317
WODRAK_clean_pacmof,32,46155.52,34258.82672,65557.66666666666,1.38828,0.00272,0.00012,3e-05,61.08282,0.11985,0.00327,0.00085,273.30609,0.53626,0.01462,0.00382,64.07696,0.12573,0.00538,0.00141
WOBCAT_clean_pacmof,36,26428.752,23942.74801,6320.08116883117,3.43515,0.14247,0.00308,0.00074,151.14252,6.26872,0.08616,0.02081,554.07482,22.98055,0.31586,0.07628,90.78675,3.76543,0.08129,0.01963
WOBHEB01_clean_pacmof,20,19492.68,26356.13268,26.891679722376644,0.93901,0.02319,0.19787,0.00486,41.31542,1.02044,5.54315,0.13606,101.48015,2.50643,13.61526,0.33419,18.30387,0.45208,3.8571,0.09467
WOBCIB_clean_pacmof,36,27870.12,22964.73815,6576.064748201438,3.22614,0.08945,0.00278,0.00072,141.94609,3.93552,0.078,0.02022,572.11042,15.86202,0.31438,0.0815,89.91278,2.49287,0.0776,0.02012
WIYZOU_clean_pacmof,18,31712.508,39618.01347,419.1443706308888,5.67842,0.10957,0.07677,0.00559,249.84371,4.82097,2.15063,0.15658,664.1794,12.81597,5.71718,0.41626,180.07697,3.47476,2.43461,0.17726
WODFOL_clean_pacmof,32,34318.592,37779.08853,56.33771983765834,1.61676,0.02154,0.16262,0.00497,71.13568,0.94758,4.5555,0.13929,214.60734,2.85873,13.74337,0.42023,55.48507,0.7391,5.58083,0.17065
WIYWUY_clean_pacmof,9,34112.232,36790.80486,394.4890762396881,2.55977,0.02894,0.03677,0.00273,112.62669,1.27312,1.03005,0.07651,346.80973,3.92031,3.17182,0.23559,87.31938,0.98705,1.2543,0.09316
